en,sigma_abs,zero,err_sigma_abs,peak_abs,err_peak_abs
20,8.91731,0,0.127229,541.045,0.185207
40,9.53753,0,0.098373,1094.67,0.119875
60,11.3063,0,0.111888,1645.8,0.118394
80,13.1302,0,0.0991904,2197.85,0.112288
100,16.54,0,0.117601,2734.37,0.156925
150,22.9913,0,0.150877,4084.3,0.201284
200,24.63,0,0.118436,5332.38,0.226003
225,26.416,0,0.233731,5950.61,0.320145
250,30.3792,0,0.334932,6550,0.418127
