en,sigma_abs,zero,err_sigma_abs,peak_abs,err_peak_abs
30,10.6491,0,0.021766,1008.26,0.0625546
40,11.6527,0,0.121279,1340.01,0.138194
60,14.1495,0,0.0181105,2009.84,0.041164
80,16.6934,0,0.228516,2680.02,0.227897
100,16.7061,0,0.131845,3344.48,0.152809
150,24.1358,0,0.10673,4995.93,0.027778
